epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4525.7,0.42132,0.23075,0.09307,0.35939,0.87524,0.9601,0.9626,0.98654,0.93696,0.97174,0.98247,0.99188,0.97948,0.31809,0.11453,0.02225,0.29232,0.80853,0.000614,0.000614,0.000614
44,4611.89,0.41024,0.21213,0.09179,0.34987,0.87516,0.95493,0.96864,0.98589,0.94366,0.95535,0.97819,0.98927,0.97923,0.30812,0.09838,0.01466,0.28669,0.81108,0.000581,0.000581,0.000581
45,4693.9,0.3957,0.19288,0.09276,0.33591,0.86497,0.97693,0.95429,0.98458,0.94117,0.95732,0.97714,0.99061,0.97896,0.30847,0.09984,0.01531,0.28178,0.80952,0.000548,0.000548,0.000548
46,4769.04,0.40131,0.20218,0.09613,0.34774,0.87444,0.9523,0.96,0.98501,0.94411,0.96994,0.98286,0.99095,0.97881,0.30379,0.10895,0.01583,0.28076,0.80744,0.000515,0.000515,0.000515
47,4841.91,0.40367,0.21235,0.10305,0.35553,0.87521,0.97978,0.94857,0.98758,0.92926,0.97209,0.96571,0.99052,0.9794,0.32754,0.10739,0.01432,0.2894,0.81596,0.000482,0.000482,0.000482
48,4914.03,0.38659,0.18265,0.09019,0.34054,0.87297,0.98247,0.96052,0.98748,0.94111,0.98525,0.98286,0.9904,0.98125,0.30194,0.10145,0.0142,0.27961,0.80816,0.000449,0.000449,0.000449
49,4987.17,0.38708,0.188,0.08757,0.33891,0.8683,0.98831,0.96602,0.99121,0.94514,0.98272,0.97714,0.99163,0.98159,0.30704,0.09529,0.01277,0.25449,0.80792,0.000416,0.000416,0.000416
50,5063.95,0.37868,0.17687,0.08177,0.33463,0.8712,0.97355,0.96,0.98733,0.9447,0.97935,0.96571,0.99161,0.9776,0.29762,0.09947,0.01535,0.25208,0.80734,0.000383,0.000383,0.000383
51,5134.47,0.37435,0.14558,0.05093,0.32506,0.84966,0.96003,0.96075,0.98526,0.94617,0.97145,0.97218,0.99155,0.98078,0.29203,0.0968,0.01165,0.26494,0.80406,0.00035,0.00035,0.00035
52,5204.64,0.37544,0.13803,0.04687,0.32648,0.86349,0.9702,0.97143,0.98972,0.94022,0.9759,0.97714,0.98983,0.98051,0.30544,0.10376,0.01245,0.27147,0.81502,0.000317,0.000317,0.000317
53,5276.29,0.36627,0.11756,0.04719,0.32206,0.85907,0.97682,0.95429,0.98536,0.94085,0.98427,0.97143,0.99186,0.97897,0.30217,0.10184,0.01058,0.26394,0.8119,0.000284,0.000284,0.000284
54,5347.65,0.35958,0.11771,0.04168,0.31204,0.84692,0.97686,0.96513,0.98631,0.93643,0.98274,0.97609,0.99052,0.98007,0.31642,0.10751,0.00904,0.2657,0.80879,0.000251,0.000251,0.000251
55,5418.88,0.35017,0.12555,0.0482,0.30381,0.842,0.97928,0.96,0.98694,0.9467,0.98519,0.96571,0.99105,0.9797,0.28441,0.09587,0.01075,0.24764,0.80306,0.000218,0.000218,0.000218
56,5490.21,0.33924,0.10923,0.04077,0.29639,0.84285,0.97869,0.96,0.9854,0.9423,0.98257,0.96571,0.99135,0.97971,0.28137,0.09715,0.01193,0.24686,0.80504,0.000185,0.000185,0.000185
57,5561.8,0.33897,0.11262,0.03838,0.29101,0.84501,0.97979,0.96,0.98766,0.94388,0.98763,0.97143,0.99124,0.98151,0.28193,0.09735,0.00863,0.24306,0.80464,0.000152,0.000152,0.000152
58,5633.49,0.33289,0.10676,0.0436,0.28537,0.84479,0.96021,0.96529,0.98512,0.94314,0.96622,0.98081,0.99195,0.9776,0.27266,0.09962,0.00833,0.24669,0.801,0.000119,0.000119,0.000119
59,5703.91,0.32312,0.11355,0.03803,0.28173,0.84032,0.95979,0.96,0.98543,0.94589,0.97126,0.97143,0.99149,0.97989,0.26449,0.09916,0.00899,0.24033,0.79922,8.6e-05,8.6e-05,8.6e-05
60,5774.84,0.32094,0.10979,0.0382,0.27785,0.84205,0.98015,0.95429,0.98618,0.94473,0.97712,0.97611,0.99098,0.98046,0.26407,0.09785,0.00859,0.23566,0.79815,5.3e-05,5.3e-05,5.3e-05
